periodo,spec,valor_bi
2015Q1,spec01_uniao_sal_ce,53.836815
2015Q1,spec03_uniao_estados_sal_ce,131.970818
2015Q1,spec13_uniao_estados_sal_ce_ci,131.970818
2015Q1,spec_uniao_sal_ce_ci,53.836815
2015Q1,spec_estados_sal_ce,78.134003
2015Q1,spec_rpps_ci_uniao,0.0
2015Q2,spec01_uniao_sal_ce,59.588588
2015Q2,spec03_uniao_estados_sal_ce,144.230984
2015Q2,spec13_uniao_estados_sal_ce_ci,144.230984
2015Q2,spec_uniao_sal_ce_ci,59.588588
2015Q2,spec_estados_sal_ce,84.642396
2015Q2,spec_rpps_ci_uniao,0.0
2015Q3,spec01_uniao_sal_ce,54.102367
2015Q3,spec03_uniao_estados_sal_ce,138.572446
2015Q3,spec13_uniao_estados_sal_ce_ci,138.572446
2015Q3,spec_uniao_sal_ce_ci,54.102367
2015Q3,spec_estados_sal_ce,84.470079
2015Q3,spec_rpps_ci_uniao,0.0
2015Q4,spec01_uniao_sal_ce,68.297718
2015Q4,spec03_uniao_estados_sal_ce,168.957594
2015Q4,spec13_uniao_estados_sal_ce_ci,168.957594
2015Q4,spec_uniao_sal_ce_ci,68.297718
2015Q4,spec_estados_sal_ce,100.659876
2015Q4,spec_rpps_ci_uniao,0.0
2016Q1,spec01_uniao_sal_ce,57.689911
2016Q1,spec03_uniao_estados_sal_ce,141.403406
2016Q1,spec13_uniao_estados_sal_ce_ci,141.403406
2016Q1,spec_uniao_sal_ce_ci,57.689911
2016Q1,spec_estados_sal_ce,83.713495
2016Q1,spec_rpps_ci_uniao,0.0
2016Q2,spec01_uniao_sal_ce,62.331657
2016Q2,spec03_uniao_estados_sal_ce,151.674591
2016Q2,spec13_uniao_estados_sal_ce_ci,151.674591
2016Q2,spec_uniao_sal_ce_ci,62.331657
2016Q2,spec_estados_sal_ce,89.342934
2016Q2,spec_rpps_ci_uniao,0.0
2016Q3,spec01_uniao_sal_ce,60.61205
2016Q3,spec03_uniao_estados_sal_ce,149.053476
2016Q3,spec13_uniao_estados_sal_ce_ci,149.053476
2016Q3,spec_uniao_sal_ce_ci,60.61205
2016Q3,spec_estados_sal_ce,88.441426
2016Q3,spec_rpps_ci_uniao,0.0
2016Q4,spec01_uniao_sal_ce,75.03449
2016Q4,spec03_uniao_estados_sal_ce,177.478134
2016Q4,spec13_uniao_estados_sal_ce_ci,177.478134
2016Q4,spec_uniao_sal_ce_ci,75.03449
2016Q4,spec_estados_sal_ce,102.443644
2016Q4,spec_rpps_ci_uniao,0.0
2017Q1,spec01_uniao_sal_ce,65.36706
2017Q1,spec03_uniao_estados_sal_ce,158.122243
2017Q1,spec13_uniao_estados_sal_ce_ci,158.122243
2017Q1,spec_uniao_sal_ce_ci,65.36706
2017Q1,spec_estados_sal_ce,92.755183
2017Q1,spec_rpps_ci_uniao,0.0
2017Q2,spec01_uniao_sal_ce,74.486619
2017Q2,spec03_uniao_estados_sal_ce,169.716196
2017Q2,spec13_uniao_estados_sal_ce_ci,169.716196
2017Q2,spec_uniao_sal_ce_ci,74.486619
2017Q2,spec_estados_sal_ce,95.229577
2017Q2,spec_rpps_ci_uniao,0.0
2017Q3,spec01_uniao_sal_ce,63.879525
2017Q3,spec03_uniao_estados_sal_ce,157.561109
2017Q3,spec13_uniao_estados_sal_ce_ci,165.038678
