ano,bimestre,cod_ibge,uf,valor_bi
2017,5,1,BR,14.955139
2017,6,1,BR,19.223812
2018,1,1,BR,15.564762
2018,2,1,BR,15.408933
2018,3,1,BR,18.899156
2018,4,1,BR,15.563561
2018,5,1,BR,15.605721
2018,6,1,BR,19.683219
2019,1,1,BR,16.539486
2019,2,1,BR,16.528678
2019,3,1,BR,36.737141
2019,4,1,BR,16.777775
2019,5,1,BR,16.901105
2019,6,1,BR,21.509307
2020,1,1,BR,17.275664
2020,2,1,BR,17.009763
2020,3,1,BR,20.726546
2020,4,1,BR,17.130232
2020,5,1,BR,17.104662
2020,6,1,BR,21.480253
2021,1,1,BR,17.493648
2021,2,1,BR,17.173891
2021,3,1,BR,20.825674
2021,4,1,BR,17.209573
2021,5,1,BR,17.244616
2021,6,1,BR,21.863979
2022,1,1,BR,17.67275
2022,2,1,BR,17.476079
2022,3,1,BR,21.18227
2022,4,1,BR,17.520877
2022,5,1,BR,17.7221
2022,6,1,BR,22.557362
2023,1,1,BR,18.259592
2023,2,1,BR,17.890098
2023,3,1,BR,22.64474
2023,4,1,BR,18.753173
2023,5,1,BR,18.854183
2023,6,1,BR,23.830136
2024,1,1,BR,19.423863
2024,2,1,BR,19.139021
2024,3,1,BR,23.266589
2024,4,1,BR,9.602192
2024,5,1,BR,19.130004
2024,6,1,BR,23.981387
