ano,bimestre,cod_ibge,uf,valor_bi
2015,1,12,AC,0.257579
2015,2,12,AC,0.285901
2015,3,12,AC,0.307735
2015,4,12,AC,0.306242
2015,5,12,AC,0.416405
2015,6,12,AC,0.617603
2016,1,12,AC,0.372089
2016,2,12,AC,0.431286
2016,3,12,AC,0.455473
2016,4,12,AC,0.396624
2016,5,12,AC,0.466956
2016,6,12,AC,0.727613
2017,1,12,AC,0.375298
2017,2,12,AC,0.412044
2017,3,12,AC,0.575834
2017,4,12,AC,0.502462
2017,5,12,AC,0.467189
2017,6,12,AC,0.796842
2018,1,12,AC,0.449744
2018,2,12,AC,0.500091
2018,3,12,AC,0.483643
2018,4,12,AC,0.600251
2018,5,12,AC,0.596975
2018,6,12,AC,0.817146
2019,1,12,AC,0.479051
2019,2,12,AC,0.475795
2019,3,12,AC,0.646063
2019,4,12,AC,0.740974
2019,5,12,AC,0.606253
2019,6,12,AC,0.771447
2020,1,12,AC,0.527499
2020,2,12,AC,0.567733
2020,3,12,AC,0.572629
2020,4,12,AC,0.757017
2020,5,12,AC,0.616161
2020,6,12,AC,0.85273
2021,1,12,AC,0.538324
2021,2,12,AC,0.61216
2021,3,12,AC,0.686465
2021,4,12,AC,0.616588
2021,5,12,AC,0.631146
2021,6,12,AC,1.118478
2022,1,12,AC,0.581601
2022,2,12,AC,0.674065
2022,3,12,AC,0.730213
2022,4,12,AC,0.824843
2022,5,12,AC,0.740888
2022,6,12,AC,1.096489
2023,1,12,AC,0.68564
2023,2,12,AC,0.793118
2023,3,12,AC,0.809243
2023,4,12,AC,0.965253
2023,5,12,AC,0.851395
2023,6,12,AC,1.171806
2024,1,12,AC,0.772746
2024,2,12,AC,0.900672
2024,3,12,AC,0.897253
2024,4,12,AC,1.066926
2024,5,12,AC,0.936477
2024,6,12,AC,1.322933
2015,1,27,AL,0.487066
2015,2,27,AL,0.715308
2015,3,27,AL,0.611187
2015,4,27,AL,0.598777
2015,5,27,AL,0.552482
2015,6,27,AL,1.048342
2016,1,27,AL,0.352684
2016,2,27,AL,0.867992
2016,3,27,AL,0.650802
2016,4,27,AL,0.592248
2016,5,27,AL,0.515057
2016,6,27,AL,1.596976
2017,1,27,AL,0.690556
2017,2,27,AL,0.704299
2017,3,27,AL,0.761825
2017,4,27,AL,0.72317
2017,5,27,AL,0.677851
2017,6,27,AL,1.280622
