quarter,cnt_R_bi,estimate_R_bi,desvio_pct
2015Q1,266.3158,264.0477,-0.8517
2015Q2,290.1793,286.3646,-1.3146
2015Q3,287.9218,286.4517,-0.5106
2015Q4,341.359,348.9119,2.2126
2016Q1,284.7479,289.4741,1.6598
2016Q2,312.1029,311.2563,-0.2712
2016Q3,303.2635,309.4705,2.0467
2016Q4,377.5307,367.4441,-2.6717
2017Q1,302.8184,313.7459,3.6086
2017Q2,333.5587,316.9077,-4.9919
2017Q3,314.3608,307.591,-2.1535
2017Q4,377.0201,389.5133,3.3137
2018Q1,315.1743,313.693,-0.47
2018Q2,342.5688,334.172,-2.4511
2018Q3,338.3385,336.612,-0.5103
2018Q4,397.3983,409.0029,2.9201
2019Q1,332.8538,330.2975,-0.768
2019Q2,367.4531,352.4015,-4.0962
2019Q3,357.1836,358.7522,0.4392
2019Q4,419.1225,435.1618,3.8269
2020Q1,344.7918,349.4715,1.3572
2020Q2,381.9806,354.73,-7.134
2020Q3,366.836,361.2343,-1.527
2020Q4,438.5955,466.7681,6.4234
2021Q1,359.9215,362.5462,0.7292
2021Q2,411.4677,395.9308,-3.776
2021Q3,408.387,401.1287,-1.7773
2021Q4,491.7587,511.9292,4.1017
2022Q1,385.3427,401.4098,4.1695
2022Q2,456.7867,447.9286,-1.9392
2022Q3,462.2302,446.5617,-3.3898
2022Q4,550.524,558.9835,1.5366
2023Q1,435.0385,451.1596,3.7057
2023Q2,511.5292,493.3652,-3.5509
2023Q3,506.8464,513.667,1.3457
2023Q4,630.4845,625.7068,-0.7578
2024Q1,475.4443,491.0034,3.2725
2024Q2,551.0367,532.9988,-3.2734
2024Q3,546.4603,528.9373,-3.2066
2024Q4,637.9771,657.9789,3.1352
2025Q1,521.1889,536.3339,2.9059
2025Q2,598.3491,572.655,-4.2942
2025Q3,607.065,597.1875,-1.6271
2025Q4,710.8115,731.2382,2.8737
