rank,model,n,RMSE,MAE,MAPE,MPE,MaxAE,MaxPE,Corr,R2,TheilU1,TheilU2,BiasPct
1,spec_estados_sal_ce_litterman,44,12.2180,9.5091,2.2476,0.1114,27.0826,6.5074,0.9938,0.9876,0.0141,0.2979,-0.0000
2,spec_estados_sal_ce_fernandez,44,12.2625,10.1113,2.3489,0.0442,26.2719,6.8778,0.9937,0.9875,0.0141,0.2822,-0.0000
3,spec_estados_sal_ce_pro_rata,44,12.7888,10.5348,2.4024,-0.0323,24.9182,6.5234,0.9934,0.9864,0.0147,0.2789,0.0000
4,spec_estados_sal_ce_denton_prop,44,13.3426,11.1531,2.5659,-0.0393,28.1726,7.1340,0.9928,0.9852,0.0154,0.2945,-0.0000
5,spec_estados_sal_ce_denton_prop_d2,44,13.5430,11.2544,2.5908,-0.0439,29.1271,7.2493,0.9926,0.9847,0.0156,0.2975,0.0000
6,spec_estados_sal_ce_chow_lin,44,13.7307,11.4822,2.6458,-0.0549,31.5787,7.5952,0.9924,0.9843,0.0158,0.2984,0.0000
7,spec03_uniao_estados_sal_ce_pro_rata,44,15.1231,10.4320,2.5163,0.0643,57.9101,14.1802,0.9904,0.9810,0.0174,0.3378,-0.0000
8,spec03_uniao_estados_sal_ce_denton_prop,44,15.4483,11.0013,2.6560,0.0433,53.2842,13.0475,0.9901,0.9801,0.0178,0.3416,0.0000
9,spec03_uniao_estados_sal_ce_denton_prop_d2,44,15.5770,11.1054,2.6831,0.0419,53.2903,13.0490,0.9899,0.9798,0.0180,0.3423,-0.0000
10,spec03_uniao_estados_sal_ce_fernandez,44,15.6023,11.0153,2.6545,0.0892,49.1440,12.0337,0.9898,0.9797,0.0180,0.3416,-0.0000
11,spec03_uniao_estados_sal_ce_chow_lin,44,15.6151,11.0208,2.6568,0.0870,49.3178,12.0762,0.9898,0.9797,0.0180,0.3419,-0.0000
12,spec03_uniao_estados_sal_ce_litterman,44,15.6478,11.1245,2.6554,0.1331,45.5513,11.1540,0.9898,0.9796,0.0181,0.3422,-0.0000
13,spec13_uniao_estados_sal_ce_ci_denton_prop,44,16.2242,12.4182,3.0619,0.0555,49.0739,12.0165,0.9890,0.9781,0.0187,0.3461,-0.0000
14,spec13_uniao_estados_sal_ce_ci_denton_prop_d2,44,16.3109,12.5101,3.0878,0.0535,49.1008,12.0231,0.9889,0.9779,0.0188,0.3467,-0.0000
15,spec13_uniao_estados_sal_ce_ci_chow_lin,44,16.7410,13.2656,3.1929,0.1979,39.4524,9.6606,0.9884,0.9767,0.0193,0.3587,-0.0000
16,spec13_uniao_estados_sal_ce_ci_fernandez,44,16.7575,13.2815,3.1953,0.2006,39.2367,9.6077,0.9884,0.9766,0.0193,0.3594,-0.0000
17,spec13_uniao_estados_sal_ce_ci_litterman,44,16.9448,13.3999,3.2106,0.2193,37.6653,9.2229,0.9882,0.9761,0.0196,0.3654,-0.0000
18,spec13_uniao_estados_sal_ce_ci_pro_rata,44,17.0188,12.5204,3.0368,0.0633,53.3806,13.0711,0.9879,0.9759,0.0196,0.3637,0.0000
19,spec13_uniao_estados_sal_ce_ci_denton_add,44,21.7291,15.8462,3.6961,0.4418,47.3110,10.2678,0.9811,0.9607,0.0251,0.5139,-0.0000
20,spec03_uniao_estados_sal_ce_denton_add,44,22.7689,16.0608,3.7276,0.4775,50.2628,10.7216,0.9792,0.9568,0.0263,0.5585,0.0000
21,spec_estados_sal_ce_denton_add,44,27.2778,20.5650,4.8320,0.6089,70.1191,12.4508,0.9697,0.9381,0.0315,0.7070,0.0000
22,spec_uniao_sal_ce_ci_litterman,44,30.0137,23.2982,5.4197,0.5782,69.1248,12.7297,0.9623,0.9250,0.0347,0.6755,-0.0000
23,spec_uniao_sal_ce_ci_chow_lin,44,30.0174,23.3770,5.4385,0.5702,69.8727,12.6375,0.9622,0.9250,0.0347,0.6704,-0.0000
24,spec_uniao_sal_ce_ci_fernandez,44,30.0446,23.3783,5.4383,0.5732,70.0013,12.6635,0.9622,0.9249,0.0347,0.6722,-0.0000
25,spec01_uniao_sal_ce_litterman,44,30.7729,23.1109,5.3861,0.4912,78.2616,14.6088,0.9599,0.9212,0.0356,0.6833,-0.0000
26,spec01_uniao_sal_ce_fernandez,44,31.1620,23.3890,5.4815,0.4423,79.9740,16.9380,0.9587,0.9192,0.0360,0.6839,-0.0000
27,spec01_uniao_sal_ce_chow_lin,44,31.2054,23.4125,5.4888,0.4393,80.0530,17.0806,0.9586,0.9189,0.0360,0.6843,-0.0000
28,spec_uniao_sal_ce_ci_denton_add,44,32.7737,24.3559,5.6261,0.7101,78.5631,13.7628,0.9550,0.9106,0.0379,0.7870,0.0000
29,spec01_uniao_sal_ce_denton_add,44,34.0889,25.2512,5.8181,0.7458,81.5150,14.2166,0.9512,0.9033,0.0394,0.8376,0.0000
30,spec_uniao_sal_ce_ci_denton_prop,44,34.5789,27.2814,6.5147,0.1761,97.2221,23.8064,0.9507,0.9005,0.0399,0.7290,0.0000
31,spec_uniao_sal_ce_ci_denton_prop_d2,44,34.7153,27.4484,6.5334,0.1776,97.2485,23.8128,0.9503,0.8997,0.0400,0.7308,0.0000
32,spec_uniao_sal_ce_ci_pro_rata,44,36.6825,28.0905,6.6527,0.1826,100.8989,24.7067,0.9445,0.8880,0.0423,0.7706,-0.0000
33,spec_rpps_ci_uniao_denton_add,44,37.3528,28.2284,6.5992,0.8414,92.5820,15.1580,0.9407,0.8839,0.0432,0.9367,0.0000
34,spec_rpps_ci_uniao_litterman,44,37.4178,28.3669,6.6295,0.8455,93.9223,15.3581,0.9405,0.8834,0.0433,0.9470,-0.0000
35,spec_rpps_ci_uniao_chow_lin,44,37.5850,28.4369,6.6431,0.8475,93.1132,15.2554,0.9399,0.8824,0.0435,0.9452,-0.0000
