data,cnt_publicada_bi,melhor_estimativa_bi,estimativa_serie8_pro_rata_bi,estimativa_serie8_denton_prop_bi,estimativa_serie8_denton_prop_d2_bi,estimativa_serie6_pro_rata_bi,estimativa_moderna_a_pro_rata_bi,estimativa_serie4_pro_rata_bi,estimativa_serie3_pro_rata_bi,estimativa_serie1_pro_rata_bi
2010-01-01,163.1100,170.0448,170.0448,170.3457,170.6093,171.5659,171.2405,171.3324,170.2413,170.9527
2010-04-01,172.8000,176.0621,176.0621,176.3130,176.3606,173.7838,174.4607,174.4444,175.8011,174.8119
2010-07-01,180.2500,174.9078,174.9078,175.0347,174.9300,174.9228,174.7514,174.2462,174.3006,174.4605
2010-10-01,222.8100,217.9553,217.9553,217.2766,217.0701,218.6976,218.5174,218.9470,218.6270,218.7449
2011-01-01,177.5800,182.0852,182.0852,182.7759,182.6801,179.9003,179.1060,180.6426,180.0489,179.2792
2011-04-01,198.6700,202.1447,202.1447,202.1670,202.1349,201.9531,201.7712,200.4091,202.9864,202.0759
2011-07-01,199.0000,189.5392,189.5392,188.9979,189.0284,188.7305,189.9811,190.5631,188.8432,189.4732
2011-10-01,242.1200,243.6009,243.6009,243.4292,243.5266,246.7861,246.5117,245.7552,245.4916,246.5418
2012-01-01,198.3300,195.5152,195.5152,194.6992,194.7237,197.6133,196.8648,200.2785,197.1476,198.0840
2012-04-01,220.3600,227.4270,227.4270,227.0909,227.1055,227.4603,227.7384,224.2655,226.3072,226.3198
2012-07-01,220.1400,213.0307,213.0307,213.2161,213.2161,216.4280,216.1319,215.5763,214.5367,215.0212
2012-10-01,270.7800,273.6371,273.6371,274.6038,274.5647,268.1084,268.8749,269.4897,271.6185,270.1851
2013-01-01,217.0800,221.5127,221.5127,220.7982,220.7692,220.5075,221.1154,222.5759,222.7215,221.9628
2013-04-01,248.1100,253.7503,253.7503,253.5305,253.4964,253.6281,252.1518,253.6572,251.1701,252.0465
2013-07-01,244.3100,239.0832,239.0832,239.4778,239.4779,235.1772,238.8162,236.7001,236.1954,238.1977
2013-10-01,300.8500,296.0037,296.0037,296.5435,296.6065,301.0372,298.2666,297.4168,300.2630,298.1431
2014-01-01,244.4000,246.5789,246.5789,247.3662,247.4078,251.0229,252.6406,249.8652,251.8824,251.4125
2014-04-01,271.4900,272.0821,272.0821,272.8603,272.9028,271.6741,271.1145,273.9324,271.6958,272.3946
2014-07-01,274.1200,269.0603,269.0603,269.5358,269.5326,266.5622,266.4349,265.3409,266.0670,268.4451
2014-10-01,324.8900,327.1787,327.1787,325.1377,325.0568,325.6408,324.7100,325.7615,325.2548,322.6478
2015-01-01,267.9570,273.7128,273.7128,276.6612,276.6791,276.9834,279.1394,280.3036,279.3994,278.5842
2015-04-01,292.4893,299.9752,299.9752,300.7400,300.7332,299.5145,300.1179,301.6231,301.4717,299.6296
2015-07-01,292.9262,290.5938,290.5938,289.2422,289.2187,289.2537,289.2893,285.7253,289.7911,288.2629
2015-10-01,376.7059,365.7966,365.7966,363.4349,363.4474,364.3269,361.5319,362.4265,359.4162,363.6018
2016-01-01,282.0154,291.3539,291.3539,291.8506,291.7856,284.8962,286.6085,286.2473,287.5065,286.4422
2016-04-01,313.3074,317.2192,317.2192,317.4657,317.4551,322.0632,323.0487,324.5827,322.8200,322.1410
2016-07-01,316.4888,312.6789,312.6789,312.5080,312.5495,313.2298,312.3214,310.8829,312.1302,313.0533
2016-10-01,399.3664,389.9261,389.9261,389.3539,389.3879,390.9890,389.1995,389.4652,388.7214,389.5416
2017-01-01,293.4632,308.5540,308.5540,309.4031,309.4226,312.5668,314.1090,313.7857,314.9656,315.9149
2017-04-01,330.2647,330.3893,330.3893,330.8889,330.8657,323.9589,325.8803,326.0497,326.7399,325.1456
